id,x,y,z,yaw,pitch,roll
1,1774.12,866.399,0,0.0232511,-0.00279656,-0.0263709
2,1774.09,866.413,0,0.0218143,-0.00220159,-0.0288214
3,1774.14,866.398,0,0.0226348,-0.000957294,-0.0265885
4,1774.17,866.433,0,0.0239387,-0.00173564,-0.0258128
5,1774.17,866.397,0,0.0237448,0.000366398,-0.0274627
6,1775.1,866.429,0,0.0233352,0.00480822,-0.0281258
7,1775.16,866.379,0,0.0242389,0.00440154,-0.0325662
8,1775.19,866.359,0,0.0237116,0.00426637,-0.0310366
9,1776.2,866.369,0,0.0243822,-0.00272429,-0.0270372
10,1776.17,866.419,0,0.0237198,0.00404467,-0.0248399
11,1777.15,866.457,0,0.0237401,0.00253081,-0.022735
12,1777.15,866.402,0,0.0238171,0.0030114,-0.0250884
13,1777.23,866.431,0,0.0230818,0.00263715,-0.024948
14,1778.15,866.46,0,0.0241041,0.00369236,-0.0259546
15,1778.19,866.443,0,0.0228263,0.00086576,-0.0319054
16,1779.16,866.57,0,0.0228616,0.00372315,-0.0231803
17,1779.14,866.572,0,0.0230604,0.00466189,-0.0193645
18,1780.11,866.516,0,0.0235726,0.0027824,-0.0222669
19,1780.13,866.553,0,0.0235483,0.00428743,-0.0225583
20,1780.17,866.579,0,0.0235337,0.00336013,-0.0205582
21,1781.14,866.605,0,0.02348,0.000671213,-0.0265861
22,1781.16,866.558,0,0.0239546,0.00210753,-0.0246717
23,1782.15,866.528,0,0.0235501,-0.00187704,-0.0274912
24,1782.19,866.602,0,0.0239083,-0.00375134,-0.0229435
25,1782.21,866.575,0,0.0240676,0.0036691,-0.0245981
26,1783.19,866.612,0,0.0240786,-0.00420472,-0.0236516
27,1783.17,866.571,0,0.0241917,0.00146947,-0.0236303
28,1784.18,866.621,0,0.0240928,-0.00120841,-0.0249988
29,1784.18,866.59,0,0.0244432,-0.000353676,-0.0264899
30,1785.19,866.623,0,0.0248135,0.000139924,-0.0252163
31,1785.2,866.587,0,0.0244327,-0.00198514,-0.026128
32,1786.18,866.636,0,0.0249028,-0.00298893,-0.0229609
33,1786.19,866.639,0,0.0247534,-0.000260227,-0.0238274
34,1787.19,866.631,0,0.0251554,-0.00245535,-0.0237633
35,1787.16,866.618,0,0.0250498,-0.00169154,-0.0239741
36,1788.19,866.713,0,0.0250074,-0.00361917,-0.0233456
37,1788.17,866.603,0,0.0267674,-0.00386125,-0.0258252
38,1788.13,866.621,0,0.0267012,0.00410276,-0.0295897
39,1789.15,866.639,0,0.0263771,0.00275279,-0.0302661
40,1789.13,866.618,0,0.0280316,0.00518724,-0.0280581
41,1790.15,866.608,0,0.0272856,0.00154546,-0.0275465
42,1790.13,866.607,0,0.0280717,0.00270125,-0.0266935
43,1791.14,866.626,0,0.0274691,0.00125362,-0.0267799
44,1791.16,866.632,0,0.0284664,0.00364405,-0.0291723
45,1792.15,866.65,0,0.0281771,0.00123162,-0.0298713
46,1792.12,866.623,0,0.0291712,0.00503419,-0.0343638
47,1792.11,866.66,0,0.0286008,0.00266929,-0.0267257
48,1793.11,866.669,0,0.0291023,0.00159467,-0.0322648
49,1793.1,866.729,0,0.0300986,0.000806241,-0.0288359
50,1794.12,866.735,0,0.0302375,-0.00137323,-0.0342091
51,1794.15,866.744,0,0.0310757,-0.00017369,-0.0307907
52,1795.13,866.768,0,0.0303394,-0.00225086,-0.0252723
53,1795.14,866.748,0,0.030663,-0.001854,-0.0275586
54,1795.12,866.775,0,0.0317374,0.00102753,-0.028652
55,1796.07,866.791,0,0.0317115,0.00138519,-0.0294557
56,1796.09,866.747,0,0.0323459,0.00104026,-0.0279032
57,1797.15,866.79,0,0.0314094,-0.000390613,-0.0270494
58,1797.14,866.778,0,0.031987,-0.00182357,-0.0230875
59,1798.13,866.833,0,0.0311397,-0.00174608,-0.0248435
60,1798.11,866.79,0,0.0315359,-0.000711198,-0.026797
61,1799.11,866.841,0,0.0331199,-0.005608,-0.0228685
62,1799.1,866.857,0,0.0334147,-0.00130464,-0.0272561
63,1800.06,866.859,0,0.0337852,-0.00251001,-0.0272302
64,1800.14,866.853,0,0.0331546,-0.00323175,-0.0272918
65,1800.05,866.85,0,0.0355701,-0.0021319,-0.0259632
66,1801.09,866.844,0,0.0340573,-0.00419793,-0.02536
67,1801.55,866.838,0,0.0412292,-0.000440868,-0.0269551
68,1802.03,866.83,0,0.035774,0.000373322,-0.026073
69,1802.05,866.813,0,0.0355344,0.000732056,-0.0262399
70,1803.08,866.845,0,0.0357232,-0.00177053,-0.0283416
71,1803.07,866.862,0,0.0360181,-0.00155173,-0.026023
72,1803.08,866.815,0,0.0365453,-0.000301512,-0.0272835
73,1803.99,866.896,0,0.0376399,-0.00153143,-0.0268384
74,1804.58,866.981,0,0.0442122,-1.97213e-05,-0.0249717
75,1805.08,866.984,0,0.0372927,-0.00292166,-0.0227288
76,1805.61,867.004,0,0.0452449,-0.00216459,-0.0231842
77,1805.59,866.995,0,0.0447839,-0.00127689,-0.0222902
78,1806.05,866.944,0,0.0374088,-0.00279931,-0.0219667
79,1806.58,867.073,0,0.0460355,-0.00276647,-0.0202834
80,1807.06,867.08,0,0.0394799,-0.00549097,-0.0208101
81,1807.59,867.001,0,0.0457066,-0.00183254,-0.025967
82,1808.08,867.02,0,0.0393982,-0.00520121,-0.0226514
83,1808.61,867.022,0,0.045345,-0.00349144,-0.0229256
84,1809.07,867.027,0,0.0396527,-0.00167235,-0.0252053
85,1809.49,867.087,0,0.046087,0.000324863,-0.0241554
86,1809.57,867.091,0,0.0464765,-0.00315282,-0.0244341
87,1810.56,867.133,0,0.0467447,0.000808407,-0.0238893
88,1810.58,867.099,0,0.047517,0.00113254,-0.0251399
89,1809.71,867.103,0,0.0449727,0.0039652,-0.0216577
90,1811.56,867.139,0,0.047201,0.000516644,-0.0229821
91,1811.49,867.21,0,0.0482141,0.00365768,-0.0185626
92,1812.55,867.205,0,0.0485997,0.000623251,-0.0221638
93,1812.54,867.227,0,0.0486796,0.00220373,-0.0217519
94,1813.6,867.207,0,0.0487406,0.000514758,-0.0240002
95,1813.55,867.232,0,0.0502999,0.000429895,-0.0250192
96,1814.59,867.253,0,0.0491424,-0.000754931,-0.0268845
97,1814.49,867.244,0,0.0498397,0.000311457,-0.0246674
98,1814.5,867.268,0,0.0499225,0.00128972,-0.0253238
99,1815.49,867.325,0,0.0508077,0.00054041,-0.0254657
100,1815.49,867.292,0,0.0500626,0.00168023,-0.0247928
101,1816.5,867.344,0,0.0513751,0.000451969,-0.0251819
102,1816.49,867.36,0,0.0509578,0.00131763,-0.0250919
103,1817.53,867.386,0,0.0508117,0.00099053,-0.0247616
104,1817.43,867.397,0,0.0510479,0.00265094,-0.0196593
105,1817.52,867.403,0,0.0503157,0.00137095,-0.020354
106,1818.48,867.438,0,0.0494446,0.00122971,-0.0243585
107,1818.53,867.395,0,0.0499922,-1.04653e-05,-0.0240092
108,1819.54,867.396,0,0.0498292,-0.000727156,-0.0249917
109,1819.57,867.498,0,0.0500239,-0.000581675,-0.022729
110,1820.61,867.447,0,0.0499878,-0.00756879,-0.0302517
111,1820.54,867.519,0,0.050342,-0.000338257,-0.0193079
112,1820.6,867.481,0,0.0490636,-0.000719068,-0.0218839
113,1821.63,867.515,0,0.0491917,-0.00131797,-0.0213956
114,1821.61,867.531,0,0.0492929,0.000116004,-0.0234396
115,1822.62,867.54,0,0.0465975,-0.00018504,-0.0231877
116,1822.63,867.551,0,0.0474916,-0.00195112,-0.0225954
117,1823.08,867.537,0,0.0406169,-0.00237134,-0.0227075
118,1823.57,867.575,0,0.0467889,-0.00165968,-0.0228228
119,1824.1,867.584,0,0.0385975,-3.19827e-05,-0.0190547
120,1824.55,867.628,0,0.0452783,-0.00184757,-0.0198041
121,1825.12,867.649,0,0.0373469,0.000610851,-0.0154353
122,1825.14,867.62,0,0.036434,-2.49332e-05,-0.0150709
123,1825.58,867.647,0,0.0425027,-0.00136059,-0.0154747
124,1826.11,867.652,0,0.0359731,-0.000754011,-0.00769299
125,1826.1,867.679,0,0.0346431,0.0016393,-0.0113043
126,1827.08,867.67,0,0.0363454,-0.00174845,-0.00872912
127,1827.12,867.691,0,0.0345041,0.00315834,-0.0102881
128,1828.06,867.741,0,0.0337769,0.00351081,-0.0073286
129,1828.08,867.703,0,0.0330651,0.00420683,-0.0078164
130,1828.09,867.742,0,0.0321062,0.00612505,-0.00683211
131,1829.05,867.747,0,0.0322323,0.0041647,-0.00551018
132,1829.1,867.751,0,0.0312519,0.00422581,-0.00324021
133,1830.15,867.746,0,0.0281955,0.000175551,-0.00209431
134,1830.14,867.77,0,0.0283524,0.000455542,-0.00164315
135,1830.11,867.75,0,0.0267634,0.00126396,-0.00420232
136,1831.14,867.825,0,0.0261763,-0.00221726,-0.00204289
137,1831.14,867.813,0,0.0268146,0.00143507,-0.00475298
138,1832.2,867.782,0,0.0250327,-0.0027367,-0.00499712
139,1832.21,867.808,0,0.0256183,-0.00504785,-0.00331027
140,1832.16,867.772,0,0.0249639,-0.00137251,-0.00693889
141,1833.23,867.787,0,0.0230999,-0.00163315,-0.00667034
142,1833.18,867.82,0,0.0231429,-0.00539143,0.00464944
143,1834.22,867.848,0,0.0226183,-0.00499201,0.00450409
144,1834.24,867.853,0,0.0209485,-0.0110821,0.00873971
145,1834.22,867.825,0,0.0216303,-0.0038279,0.00194217
146,1834.83,867.85,0,0.0100374,-0.00247983,0.00436164
147,1835.16,867.835,0,0.0200999,0.00360136,0.00112611
148,1835.76,867.822,0,0.010578,0.00245065,0.00505605
149,1835.14,867.82,0,0.0186515,0.0142293,0.00908178
150,1835.73,867.821,0,0.00971278,0.0162407,0.0166936
151,1836.69,867.836,0,0.0106718,0.00807535,0.0134155
152,1837.14,867.874,0,0.0179033,0.00471117,0.00721009
153,1837.13,867.858,0,0.0180765,0.000522751,-0.000867432
154,1837.82,867.826,0,0.00994154,-0.00741922,-0.00210157
155,1837.78,867.846,0,0.0110485,-0.0175575,-0.00579785
156,1838.87,867.859,0,0.00806486,-0.0203572,-0.00152144
157,1839.18,867.911,0,0.0199539,-0.0189159,-0.00157772
158,1839.88,867.862,0,0.00744867,-0.0182019,-0.00458693
159,1840.24,867.913,0,0.0176829,-0.013521,-0.00344448
160,1840.19,867.933,0,0.0195939,-0.0133377,-0.00538268
161,1840.8,867.903,0,0.00922572,-0.00894244,-0.0122646
162,1841.11,867.952,0,0.0190106,-0.00108047,-0.0128712
163,1840.83,867.838,0,0.0065085,2.31612e-05,-0.0136127
164,1842.12,867.945,0,0.0162664,0.000610053,-0.00988154
165,1842.15,867.953,0,0.0175357,-0.00674637,-0.0117029
166,1842.78,867.92,0,0.00836704,-0.00740572,-0.00845799
167,1842.1,867.877,0,0.0170907,0.00205249,-0.0192457
168,1843.15,867.897,0,0.0175409,-0.00819605,-0.0113212
169,1843.74,867.85,0,0.0113118,-0.0138709,-0.0208052
170,1844.12,867.854,0,0.0188219,-0.0096426,-0.0171473
171,1844.77,867.884,0,0.0108585,-0.0104104,-0.0140431
172,1845.16,867.902,0,0.0182002,-0.0107894,-0.0141216
173,1845.8,867.903,0,0.00981392,-0.0137849,-0.0101721
174,1846.1,867.91,0,0.0194075,-0.0105479,-0.0158956
175,1845.83,867.898,0,0.00949092,-0.0116741,-0.0111979
176,1846.81,867.871,0,0.00858408,-0.0134014,-0.0107448
177,1847.18,867.927,0,0.0197343,-0.0130116,-0.0122885
178,1847.21,867.896,0,0.0166073,-0.0135454,-0.0101485
179,1848.18,867.938,0,0.0187053,-0.0131555,-0.0094521
180,1848.15,867.901,0,0.0193383,-0.00364264,-0.0199022
181,1848.86,867.88,0,0.0103712,-0.0196469,-0.0162239
182,1848.81,867.839,0,0.00980621,-0.0116358,-0.0190987
183,1849.82,867.883,0,0.0111557,-0.0147621,-0.016902
184,1850.18,867.955,0,0.0199116,-0.00867403,-0.019171
185,1850.12,867.924,0,0.0186092,-0.00805975,-0.0153475
186,1851.16,867.895,0,0.0173029,-0.0109064,-0.0145308
187,1851.04,867.936,0,0.0204411,0.000480114,-0.0120198
188,1852.08,867.975,0,0.0204776,0.00121327,-0.00982851
189,1852.07,867.945,0,0.0226804,0.00187782,-0.0109093
190,1852.98,867.997,0,0.0247325,0.00119156,-0.0100495
191,1853.04,867.933,0,0.0248569,0.00253492,-0.0117016
192,1853.01,867.938,0,0.0262118,0.00211853,-0.012733
193,1854.03,867.939,0,0.0263391,0.0019006,-0.0142373
194,1854.09,867.919,0,0.0268089,0.0019122,-0.0151065
195,1854.98,867.997,0,0.0298545,0.00108171,-0.015596
196,1854.99,867.935,0,0.0292186,0.00165216,-0.0162999
197,1854.92,868.012,0,0.0331055,0.00108109,-0.0139635
198,1856.02,867.999,0,0.0325553,0.000481621,-0.0144368
199,1855.98,867.996,0,0.0341708,0.00117672,-0.0168322
200,1856,867.896,0,0.0320321,0.00195975,-0.017349
201,1856.97,867.939,0,0.0340034,0.0021426,-0.0183944
202,1857.06,867.896,0,0.0342269,0.00281224,-0.0190816
203,1856.96,867.975,0,0.0369236,0.00206609,-0.0207906
204,1858.09,867.888,0,0.0352822,-0.00292924,-0.0255315
205,1857.33,867.95,0,0.0372253,0.00132246,-0.0156559
206,1857.52,867.939,0,0.0385573,-0.00349505,-0.0155517
207,1859.04,867.903,0,0.0352744,-0.0113539,-0.0170309
208,1858.38,867.919,0,0.0378551,-0.00658993,-0.0149394
209,1858.65,867.997,0,0.0428891,-0.00897916,-0.0152196
210,1859.12,867.952,0,0.0392453,-0.0079449,-0.0140666
211,1859.4,867.997,0,0.041548,-0.00808995,-0.0160961
212,1859.65,868.108,0,0.0464217,-0.0019639,-0.0118677
