id,x,y,z,yaw,pitch,roll
1,1716.9,1014.22,0,-2.18986,-0.0344639,0.016585
2,1717.08,1014.5,0,-2.19033,-0.0499028,0.0260588
3,1716.71,1013.95,0,-2.19159,-0.0276784,0.00875653
4,1716.55,1013.67,0,-2.19169,-0.0224117,0.0107158
5,1716.31,1013.41,0,-2.19374,-0.0231076,0.00443876
6,1716.11,1013.11,0,-2.19535,-0.0255609,0.00200235
7,1715.85,1012.69,0,-2.19552,-0.0277417,0.0038938
8,1715.72,1012.45,0,-2.19678,-0.03106,0.00403051
9,1715.51,1012.18,0,-2.19805,-0.0308973,0.0060562
10,1715.29,1011.89,0,-2.19835,-0.0337401,0.00731709
11,1715.11,1011.69,0,-2.20017,-0.0323487,0.0044761
12,1714.82,1011.3,0,-2.19868,-0.0322847,0.00528577
13,1714.66,1010.99,0,-2.20041,-0.0352584,0.00892196
14,1714.47,1010.68,0,-2.20085,-0.0353509,0.0137169
15,1714.3,1010.48,0,-2.20308,-0.0315046,0.0113878
16,1714.03,1010.12,0,-2.20158,-0.0274657,0.0100528
17,1713.86,1009.83,0,-2.20112,-0.0251775,0.0059719
18,1713.67,1009.6,0,-2.20305,-0.0283447,0.005365
19,1713.45,1009.34,0,-2.2038,-0.0273917,0.00457437
20,1713.23,1009.05,0,-2.20452,-0.0281596,0.00471888
21,1713.02,1008.75,0,-2.20498,-0.0272879,-0.000766308
22,1712.76,1008.47,0,-2.20592,-0.0292293,0.000190186
23,1712.61,1008.24,0,-2.20632,-0.0288019,0.00270967
24,1712.29,1007.92,0,-2.20517,-0.0294532,-0.00286187
25,1712.1,1007.68,0,-2.20602,-0.0298759,-0.0058403
26,1711.93,1007.41,0,-2.20542,-0.0294763,-0.00736398
27,1711.68,1007.07,0,-2.20569,-0.0300804,-0.00718815
28,1711.49,1006.78,0,-2.20376,-0.0254735,-0.00952615
29,1711.38,1006.57,0,-2.20457,-0.0255466,-0.00641521
30,1711.14,1006.23,0,-2.20387,-0.0254289,-0.00642111
31,1710.99,1005.94,0,-2.20269,-0.0245147,-0.00392235
32,1710.84,1005.83,0,-2.20262,-0.0242017,-0.0054162
33,1710.6,1005.52,0,-2.20198,-0.0248226,-0.00757318
34,1710.53,1005.37,0,-2.20231,-0.0237753,-0.00436156
35,1710.21,1005.01,0,-2.20053,-0.0237802,-0.006199
36,1710.01,1004.68,0,-2.19827,-0.0248604,-0.00760584
37,1709.83,1004.47,0,-2.19716,-0.0246476,-0.00887573
38,1709.68,1004.16,0,-2.1957,-0.0237601,-0.00596528
39,1709.6,1004.06,0,-2.19475,-0.0242309,-0.0065176
40,1709.36,1003.79,0,-2.19575,-0.0248598,-0.00756642
41,1709.19,1003.58,0,-2.19295,-0.0241584,-0.00751968
42,1708.82,1003.06,0,-2.18973,-0.022501,-0.0104904
43,1708.59,1002.77,0,-2.18771,-0.0233584,-0.00730071
44,1708.37,1002.4,0,-2.18594,-0.0236683,-0.00751895
45,1708.21,1002.26,0,-2.18388,-0.0230647,-0.0103755
46,1707.94,1001.91,0,-2.1817,-0.0240882,-0.0116562
47,1707.9,1001.75,0,-2.18144,-0.0224484,-0.00732649
48,1707.85,1001.53,0,-2.18033,-0.0170477,0.015442
49,1707.58,1001.23,0,-2.17755,-0.0178202,0.00832783
50,1707.41,1001.12,0,-2.17551,-0.0196897,-0.000488996
51,1707.2,1000.8,0,-2.17315,-0.022461,-0.00546641
52,1707,1000.46,0,-2.17138,-0.0216322,0.000372985
53,1706.94,1000.4,0,-2.17097,-0.0227239,-0.00517943
54,1706.65,999.941,0,-2.16835,-0.0235231,-0.00434513
55,1706.58,999.805,0,-2.16749,-0.0209591,0.00300962
56,1706.4,999.59,0,-2.16349,-0.0219869,0.00179035
57,1706.23,999.453,0,-2.16247,-0.0220335,-0.00979235
58,1706.09,999.162,0,-2.1613,-0.0215005,-0.00131442
59,1705.95,998.916,0,-2.15753,-0.021707,-0.000611452
60,1705.74,998.63,0,-2.15182,-0.0223726,-0.0122885
61,1705.56,998.437,0,-2.1504,-0.0230644,-0.0170313
62,1705.44,998.242,0,-2.14899,-0.0230612,-0.0150863
63,1705.29,997.98,0,-2.14608,-0.0233178,-0.0120298
64,1705.11,997.796,0,-2.14402,-0.023024,-0.0204868
65,1704.89,997.503,0,-2.14186,-0.0208212,-0.0274489
66,1704.87,997.407,0,-2.14295,-0.0225114,-0.0102453
67,1704.77,997.129,0,-2.14187,-0.0210658,-0.00394525
68,1704.66,997.049,0,-2.13932,-0.0249539,-0.0172787
69,1704.44,996.651,0,-2.13948,-0.0225142,-0.000821125
70,1704.28,996.408,0,-2.13646,-0.0189527,-0.0065081
71,1704.13,996.18,0,-2.13336,-0.0179592,-0.00897759
72,1703.94,995.891,0,-2.1323,-0.0182611,-0.0103925
73,1703.68,995.541,0,-2.13003,-0.0195951,-0.0112022
74,1703.64,995.36,0,-2.12725,-0.018008,-0.0123736
75,1703.47,995.141,0,-2.12711,-0.0182801,-0.0111795
76,1703.3,994.865,0,-2.12624,-0.0204233,-0.00839218
77,1703.05,994.483,0,-2.11975,-0.0212787,-0.00826177
78,1702.91,994.225,0,-2.12157,-0.0213812,-0.00781048
79,1702.78,994.079,0,-2.12206,-0.022277,-0.00799509
80,1702.66,993.772,0,-2.12074,-0.022391,-0.00421036
81,1702.39,993.379,0,-2.11876,-0.023325,-0.00472698
82,1702.21,993.168,0,-2.11861,-0.0217584,-0.00737754
83,1702.05,992.952,0,-2.12134,-0.0207475,-0.0100207
